"CRC32";"lastAccessTime";"lastModifiedTime";"creationTime";"rootFolder";"subFolder0";"subFolder1";"subFolder2";"subFolder3";"subFolder4";"subFolder5";"subFolder6";"subFolder7";"subFolder8";"subFolder9";"fileName";"fileExtension";"celltype";"suspensionMedium";"measurementLocation";"measurementTime";"lens";"~File location";""
"c566db73";"2015-05-05, 08:41:14";"2015-06-12, 13:28:17";"2015-05-05, 08:41:14";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_04052015_100oi_100sec_Gelatine_scan";"BHK_570_04052015_100oi_100sec_10%_Gelantine_BG";"asc";"BHK_570";"10%_Gelantine";"BG";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_04052015_100oi_100sec_Gelatine_scan\\BHK_570_04052015_100oi_100sec_10%_Gelantine_BG.asc";""
"edbb5090";"2015-05-05, 08:41:14";"2015-06-12, 13:28:41";"2015-05-05, 08:41:14";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_04052015_100oi_100sec_Gelatine_scan";"BHK_570_04052015_100oi_100sec_10%_Gelantine_scan1";"asc";"BHK_570";"10%_Gelantine";"_scan";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_04052015_100oi_100sec_Gelatine_scan\\BHK_570_04052015_100oi_100sec_10%_Gelantine_scan1.asc";""
"9d4cee26";"2015-05-05, 08:41:14";"2015-06-12, 13:32:10";"2015-05-05, 08:41:14";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_04052015_100oi_100sec_Gelatine_scan";"BHK_570_04052015_100oi_100sec_10%_Gelantine_scan10";"asc";"BHK_570";"10%_Gelantine";"_scan";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_04052015_100oi_100sec_Gelatine_scan\\BHK_570_04052015_100oi_100sec_10%_Gelantine_scan10.asc";""
"db058e5c";"2015-05-05, 08:41:14";"2015-06-12, 13:29:03";"2015-05-05, 08:41:14";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_04052015_100oi_100sec_Gelatine_scan";"BHK_570_04052015_100oi_100sec_10%_Gelantine_scan2";"asc";"BHK_570";"10%_Gelantine";"_scan";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_04052015_100oi_100sec_Gelatine_scan\\BHK_570_04052015_100oi_100sec_10%_Gelantine_scan2.asc";""
"5aac8147";"2015-05-05, 08:41:14";"2015-06-12, 13:29:27";"2015-05-05, 08:41:14";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_04052015_100oi_100sec_Gelatine_scan";"BHK_570_04052015_100oi_100sec_10%_Gelantine_scan3";"asc";"BHK_570";"10%_Gelantine";"_scan";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_04052015_100oi_100sec_Gelatine_scan\\BHK_570_04052015_100oi_100sec_10%_Gelantine_scan3.asc";""
"67ee321";"2015-05-05, 08:41:14";"2015-06-12, 13:29:50";"2015-05-05, 08:41:14";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_04052015_100oi_100sec_Gelatine_scan";"BHK_570_04052015_100oi_100sec_10%_Gelantine_scan4";"asc";"BHK_570";"10%_Gelantine";"_scan";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_04052015_100oi_100sec_Gelatine_scan\\BHK_570_04052015_100oi_100sec_10%_Gelantine_scan4.asc";""
"3514566e";"2015-05-05, 08:41:14";"2015-06-12, 13:30:12";"2015-05-05, 08:41:14";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_04052015_100oi_100sec_Gelatine_scan";"BHK_570_04052015_100oi_100sec_10%_Gelantine_scan5";"asc";"BHK_570";"10%_Gelantine";"_scan";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_04052015_100oi_100sec_Gelatine_scan\\BHK_570_04052015_100oi_100sec_10%_Gelantine_scan5.asc";""
"4b86da7c";"2015-05-05, 08:41:14";"2015-06-12, 13:30:36";"2015-05-05, 08:41:14";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_04052015_100oi_100sec_Gelatine_scan";"BHK_570_04052015_100oi_100sec_10%_Gelantine_scan6";"asc";"BHK_570";"10%_Gelantine";"_scan";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_04052015_100oi_100sec_Gelatine_scan\\BHK_570_04052015_100oi_100sec_10%_Gelantine_scan6.asc";""
"3d3a850a";"2015-05-05, 08:41:14";"2015-06-12, 13:23:00";"2015-05-05, 08:41:14";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_04052015_100oi_100sec_Gelatine_scan";"BHK_570_04052015_100oi_100sec_10%_Gelantine_scan7";"asc";"BHK_570";"10%_Gelantine";"_scan";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_04052015_100oi_100sec_Gelatine_scan\\BHK_570_04052015_100oi_100sec_10%_Gelantine_scan7.asc";""
"be88d76";"2015-05-05, 08:41:14";"2015-06-12, 13:31:24";"2015-05-05, 08:41:14";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_04052015_100oi_100sec_Gelatine_scan";"BHK_570_04052015_100oi_100sec_10%_Gelantine_scan8";"asc";"BHK_570";"10%_Gelantine";"_scan";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_04052015_100oi_100sec_Gelatine_scan\\BHK_570_04052015_100oi_100sec_10%_Gelantine_scan8.asc";""
