"CRC32";"lastAccessTime";"lastModifiedTime";"creationTime";"rootFolder";"subFolder0";"subFolder1";"subFolder2";"subFolder3";"subFolder4";"subFolder5";"subFolder6";"subFolder7";"subFolder8";"subFolder9";"fileName";"fileExtension";"celltype";"suspensionMedium";"measurementLocation";"measurementTime";"lens";"~File location";""
"8234cf7d";"2015-05-08, 07:15:56";"2015-06-12, 13:31:40";"2015-05-08, 07:15:56";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_07052015_100oi_20%_Gelantine_mit_Medium";"BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_BG";"asc";"BHK_570";"10%_Gelantine_mit_Medium";"BG";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_07052015_100oi_20%_Gelantine_mit_Medium\\BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_BG.asc";""
"a5a4025f";"2015-05-08, 07:15:56";"2015-06-12, 13:32:05";"2015-05-08, 07:15:56";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_07052015_100oi_20%_Gelantine_mit_Medium";"BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_BG1";"asc";"BHK_570";"10%_Gelantine_mit_Medium";"BG";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_07052015_100oi_20%_Gelantine_mit_Medium\\BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_BG1.asc";""
"a0e1d9b7";"2015-05-08, 07:15:56";"2015-06-12, 13:32:27";"2015-05-08, 07:15:56";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_07052015_100oi_20%_Gelantine_mit_Medium";"BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_scan1";"asc";"BHK_570";"10%_Gelantine_mit_Medium";"_scan";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_07052015_100oi_20%_Gelantine_mit_Medium\\BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_scan1.asc";""
"c596ead6";"2015-05-08, 07:15:56";"2015-06-12, 13:36:10";"2015-05-08, 07:15:56";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_07052015_100oi_20%_Gelantine_mit_Medium";"BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_scan10";"asc";"BHK_570";"10%_Gelantine_mit_Medium";"_scan";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_07052015_100oi_20%_Gelantine_mit_Medium\\BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_scan10.asc";""
"fb858e54";"2015-05-08, 07:15:56";"2015-06-12, 13:32:49";"2015-05-08, 07:15:56";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_07052015_100oi_20%_Gelantine_mit_Medium";"BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_scan2";"asc";"BHK_570";"10%_Gelantine_mit_Medium";"_scan";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_07052015_100oi_20%_Gelantine_mit_Medium\\BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_scan2.asc";""
"af4576e7";"2015-05-08, 07:15:56";"2015-06-12, 13:33:16";"2015-05-08, 07:15:56";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_07052015_100oi_20%_Gelantine_mit_Medium";"BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_scan3";"asc";"BHK_570";"10%_Gelantine_mit_Medium";"_scan";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_07052015_100oi_20%_Gelantine_mit_Medium\\BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_scan3.asc";""
"40574c9c";"2015-05-08, 07:15:56";"2015-06-12, 13:33:39";"2015-05-08, 07:15:56";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_07052015_100oi_20%_Gelantine_mit_Medium";"BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_scan4";"asc";"BHK_570";"10%_Gelantine_mit_Medium";"_scan";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_07052015_100oi_20%_Gelantine_mit_Medium\\BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_scan4.asc";""
"3006e152";"2015-05-08, 07:15:56";"2015-06-12, 13:34:04";"2015-05-08, 07:15:56";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_07052015_100oi_20%_Gelantine_mit_Medium";"BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_scan5";"asc";"BHK_570";"10%_Gelantine_mit_Medium";"_scan";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_07052015_100oi_20%_Gelantine_mit_Medium\\BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_scan5.asc";""
"92ac6eee";"2015-05-08, 07:15:56";"2015-06-12, 13:34:30";"2015-05-08, 07:15:56";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_07052015_100oi_20%_Gelantine_mit_Medium";"BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_scan6";"asc";"BHK_570";"10%_Gelantine_mit_Medium";"_scan";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_07052015_100oi_20%_Gelantine_mit_Medium\\BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_scan6.asc";""
"c850a642";"2015-05-08, 07:15:56";"2015-06-12, 13:35:00";"2015-05-08, 07:15:56";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK_570_07052015_100oi_20%_Gelantine_mit_Medium";"BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_scan7";"asc";"BHK_570";"10%_Gelantine_mit_Medium";"_scan";"100sec";"100oi";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK_570_07052015_100oi_20%_Gelantine_mit_Medium\\BHK_570_07052015_100oi_100sec_10%_Gelantine_mit_Medium_scan7.asc";""
