CRC32	lastAccessTime	lastModifiedTime	creationTime	rootFolder	subFolder0	subFolder1	subFolder2	subFolder3	subFolder4	subFolder5	subFolder6	subFolder7	subFolder8	subFolder9	fileName	fileExtension	celltype	suspensionMedium	measurementPosition	measurementTime	lens	~File location	
278cf428	2015-05-05, 08:42:00	2015-06-12, 13:34:34	2015-05-05, 08:42:00	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_04052015_Gelatine_100oi_scan	BHKVII_04052015_10%Gelatine_100oi_BG1	asc	BHKVII	10%Gelatine	_BG		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_04052015_Gelatine_100oi_scan\BHKVII_04052015_10%Gelatine_100oi_BG1.asc	
591e783a	2015-05-05, 08:42:00	2015-06-12, 13:34:58	2015-05-05, 08:42:00	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_04052015_Gelatine_100oi_scan	BHKVII_04052015_10%Gelatine_100oi_BG2	asc	BHKVII	10%Gelatine	_BG		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_04052015_Gelatine_100oi_scan\BHKVII_04052015_10%Gelatine_100oi_BG2.asc	
894b56b5	2015-05-05, 08:42:00	2015-06-12, 13:35:25	2015-05-05, 08:42:00	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_04052015_Gelatine_100oi_scan	BHKVII_04052015_10%Gelatine_100oi_scan1	asc	BHKVII	10%Gelatine	_scan		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_04052015_Gelatine_100oi_scan\BHKVII_04052015_10%Gelatine_100oi_scan1.asc	
e95e22e3	2015-05-05, 08:42:00	2015-06-12, 13:25:27	2015-05-05, 08:42:00	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_04052015_Gelatine_100oi_scan	BHKVII_04052015_10%Gelatine_100oi_scan10	asc	BHKVII	10%Gelatine	_scan		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_04052015_Gelatine_100oi_scan\BHKVII_04052015_10%Gelatine_100oi_scan10.asc	
c3a7ae26	2015-05-05, 08:42:00	2015-06-12, 13:25:09	2015-05-05, 08:42:00	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_04052015_Gelatine_100oi_scan	BHKVII_04052015_10%Gelatine_100oi_scan2	asc	BHKVII	10%Gelatine	_scan		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_04052015_Gelatine_100oi_scan\BHKVII_04052015_10%Gelatine_100oi_scan2.asc	
fe16935b	2015-05-05, 08:42:00	2015-06-12, 13:36:16	2015-05-05, 08:42:00	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_04052015_Gelatine_100oi_scan	BHKVII_04052015_10%Gelatine_100oi_scan3	asc	BHKVII	10%Gelatine	_scan		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_04052015_Gelatine_100oi_scan\BHKVII_04052015_10%Gelatine_100oi_scan3.asc	
f59db4f2	2015-05-05, 08:42:00	2015-06-12, 13:36:41	2015-05-05, 08:42:00	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_04052015_Gelatine_100oi_scan	BHKVII_04052015_10%Gelatine_100oi_scan4	asc	BHKVII	10%Gelatine	_scan		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_04052015_Gelatine_100oi_scan\BHKVII_04052015_10%Gelatine_100oi_scan4.asc	
6d2f8aa8	2015-05-05, 08:42:00	2015-06-12, 13:37:03	2015-05-05, 08:42:00	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_04052015_Gelatine_100oi_scan	BHKVII_04052015_10%Gelatine_100oi_scan5	asc	BHKVII	10%Gelatine	_scan		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_04052015_Gelatine_100oi_scan\BHKVII_04052015_10%Gelatine_100oi_scan5.asc	
aa22fbd3	2015-05-05, 08:42:00	2015-06-12, 13:37:25	2015-05-05, 08:42:00	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_04052015_Gelatine_100oi_scan	BHKVII_04052015_10%Gelatine_100oi_scan6	asc	BHKVII	10%Gelatine	_scan		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_04052015_Gelatine_100oi_scan\BHKVII_04052015_10%Gelatine_100oi_scan6.asc	
f0398b52	2015-05-05, 08:42:00	2015-06-12, 13:37:48	2015-05-05, 08:42:00	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_04052015_Gelatine_100oi_scan	BHKVII_04052015_10%Gelatine_100oi_scan7	asc	BHKVII	10%Gelatine	_scan		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_04052015_Gelatine_100oi_scan\BHKVII_04052015_10%Gelatine_100oi_scan7.asc	
