CRC32	lastAccessTime	lastModifiedTime	creationTime	rootFolder	subFolder0	subFolder1	subFolder2	subFolder3	subFolder4	subFolder5	subFolder6	subFolder7	subFolder8	subFolder9	fileName	fileExtension	celltype	suspensionMedium	measurementLocation	measurementTime	lens	~File location	
60db5a97	2015-05-08, 07:16:46	2015-06-12, 13:24:18	2015-05-08, 07:16:46	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_07052015_Gelatine_mit_Medium_100oi	BHKVII_07052015_10%Gelatine_mit_Medium_100oi_BG	asc	BHKVII	10%Gelatine	_BG		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_07052015_Gelatine_mit_Medium_100oi\BHKVII_07052015_10%Gelatine_mit_Medium_100oi_BG.asc	
46ef4aba	2015-05-08, 07:16:46	2015-06-12, 13:25:36	2015-05-08, 07:16:46	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_07052015_Gelatine_mit_Medium_100oi	BHKVII_07052015_10%Gelatine_mit_Medium_100oi_scan1	asc	BHKVII	10%Gelatine	_scan		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_07052015_Gelatine_mit_Medium_100oi\BHKVII_07052015_10%Gelatine_mit_Medium_100oi_scan1.asc	
45d2081d	2015-05-08, 07:16:46	2015-06-12, 13:28:59	2015-05-08, 07:16:46	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_07052015_Gelatine_mit_Medium_100oi	BHKVII_07052015_10%Gelatine_mit_Medium_100oi_scan10	asc	BHKVII	10%Gelatine	_scan		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_07052015_Gelatine_mit_Medium_100oi\BHKVII_07052015_10%Gelatine_mit_Medium_100oi_scan10.asc	
fb16e244	2015-05-08, 07:16:46	2015-06-12, 13:25:57	2015-05-08, 07:16:46	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_07052015_Gelatine_mit_Medium_100oi	BHKVII_07052015_10%Gelatine_mit_Medium_100oi_scan2	asc	BHKVII	10%Gelatine	_scan		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_07052015_Gelatine_mit_Medium_100oi\BHKVII_07052015_10%Gelatine_mit_Medium_100oi_scan2.asc	
bf7b679d	2015-05-08, 07:16:48	2015-06-12, 13:26:20	2015-05-08, 07:16:48	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_07052015_Gelatine_mit_Medium_100oi	BHKVII_07052015_10%Gelatine_mit_Medium_100oi_scan3	asc	BHKVII	10%Gelatine	_scan		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_07052015_Gelatine_mit_Medium_100oi\BHKVII_07052015_10%Gelatine_mit_Medium_100oi_scan3.asc	
617e0fb1	2015-05-08, 07:16:48	2015-06-12, 13:26:45	2015-05-08, 07:16:48	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_07052015_Gelatine_mit_Medium_100oi	BHKVII_07052015_10%Gelatine_mit_Medium_100oi_scan4	asc	BHKVII	10%Gelatine	_scan		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_07052015_Gelatine_mit_Medium_100oi\BHKVII_07052015_10%Gelatine_mit_Medium_100oi_scan4.asc	
55797ee7	2015-05-08, 07:16:48	2015-06-12, 13:27:07	2015-05-08, 07:16:48	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_07052015_Gelatine_mit_Medium_100oi	BHKVII_07052015_10%Gelatine_mit_Medium_100oi_scan5	asc	BHKVII	10%Gelatine	_scan		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_07052015_Gelatine_mit_Medium_100oi\BHKVII_07052015_10%Gelatine_mit_Medium_100oi_scan5.asc	
cf72ef27	2015-05-08, 07:16:48	2015-06-12, 13:27:29	2015-05-08, 07:16:48	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_07052015_Gelatine_mit_Medium_100oi	BHKVII_07052015_10%Gelatine_mit_Medium_100oi_scan6	asc	BHKVII	10%Gelatine	_scan		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_07052015_Gelatine_mit_Medium_100oi\BHKVII_07052015_10%Gelatine_mit_Medium_100oi_scan6.asc	
9db85d01	2015-05-08, 07:16:48	2015-06-12, 13:27:50	2015-05-08, 07:16:48	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_07052015_Gelatine_mit_Medium_100oi	BHKVII_07052015_10%Gelatine_mit_Medium_100oi_scan7	asc	BHKVII	10%Gelatine	_scan		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_07052015_Gelatine_mit_Medium_100oi\BHKVII_07052015_10%Gelatine_mit_Medium_100oi_scan7.asc	
be49b6ec	2015-05-08, 07:16:48	2015-06-12, 13:24:36	2015-05-08, 07:16:48	C:	Users	Pippow	Arbeit	LifeHCA	MAVO_Optiscell	BSCW	OPTISCELL	Raman Daten	BHK 570	BHKVII_07052015_Gelatine_mit_Medium_100oi	BHKVII_07052015_10%Gelatine_mit_Medium_100oi_scan8	asc	BHKVII	10%Gelatine	_scan		100oi	~C:\Users\Pippow\Arbeit\LifeHCA\MAVO_Optiscell\BSCW\OPTISCELL\Raman Daten\BHK 570\BHKVII_07052015_Gelatine_mit_Medium_100oi\BHKVII_07052015_10%Gelatine_mit_Medium_100oi_scan8.asc	
